iteracao,retorno_usd,multiplicador
593,4710587434.175201,2.3600137445767544
594,5423500051.501832,2.717184394539996
595,5187990727.520321,2.599193751262686
596,4881730150.163034,2.445756588258033
597,5442050893.066361,2.7264784033398604
598,4813645102.146147,2.4116458427585905
599,4985489719.530861,2.497740340446323
600,5180759073.838972,2.595570678276038
601,5688420512.256768,2.849910076280946
602,5506212608.390647,2.7586235512979194
603,4567485797.05677,2.2883195376035923
604,5137313539.213324,2.5738043783633886
605,4063209133.8427024,2.035675918758869
606,5418181818.569561,2.714519949183147
607,6198677013.466322,3.105549605945051
608,5097061183.426628,2.5536378674482103
609,4833133816.255014,2.4214097275826725
610,5810978600.540419,2.911311924118446
611,4615127220.77404,2.3121879863597394
612,5922392943.814581,2.9671307333740384
613,5914891644.187528,2.96337256722822
614,5246599881.950884,2.628557055085613
615,4706735727.038577,2.3580840315824534
616,4881236231.599153,2.4455091340677115
617,5499819178.1987,2.7554204299592686
618,5507103588.077316,2.759069933906471
619,4724859307.714537,2.36716398182091
620,5533032027.739877,2.772060134138215
621,4615245547.905411,2.312247268489685
622,4898080853.300278,2.4539483232967325
623,4678562778.449076,2.3439693278802984
624,4784136610.18215,2.3968620291493736
625,4614411286.980491,2.3118293020944343
626,4862925390.292814,2.4363353658781635
627,5025925953.713482,2.517998974806354
628,5557279402.869203,2.7842081176699414
629,4739803195.566954,2.374650899582642
630,5598153580.184345,2.8046861624170067
631,5217722233.461,2.6140892953211425
632,4553301744.18428,2.281213298689519
633,4863381096.41937,2.4365636755608064
634,5955243032.527405,2.9835886936510043
635,4985706765.038464,2.497849080680593
636,5130184628.501528,2.5702327798103846
637,4450969960.448066,2.229944869963961
638,4990338396.862886,2.5001695375064563
639,5310172891.571829,2.6604072603065276
640,5511799677.334877,2.7614226840355096
641,5329217400.840204,2.669948597615333
642,4659428996.984711,2.3343832650224003
643,5892918195.438623,2.952363825370052
644,5847688991.633659,2.9297039036240777
645,4291921674.0548477,2.1502613597469176
646,4896030737.276764,2.4529212110605028
647,4564196369.55056,2.2866715278309417
648,5221432568.839363,2.615948180781244
649,5375164949.082256,2.692968411363856
650,4421429386.898315,2.2151449834159895
651,5197041628.832253,2.603728270958043
652,5206184812.112339,2.6083090241043783
653,5297936665.348448,2.6542768864471182
654,4904097830.052327,2.4569628407075785
655,4946513154.756148,2.4782130033848437
656,4384730606.073549,2.1967588206781308
657,4586118267.042904,2.2976544424062646
658,5484710523.254566,2.747850963554392
659,5485176933.710495,2.7480846361275026
660,5077191877.166165,2.5436833051934697
661,4831267178.101774,2.4204745381271415
662,4875090092.607422,2.442429906115943
663,5518254767.427579,2.7646566971080055
664,4846768918.569088,2.428240941166878
665,5862478334.085674,2.937113393830498
666,4807557578.496446,2.4085959812106443
667,6934066351.972649,3.47398113826285
668,4673341720.353975,2.341353567311611
669,5008525668.805735,2.509281397197262
670,4825940321.135559,2.4178057721120036
671,4913602193.571943,2.4617245458777273
672,4379420543.5970335,2.1940984687359886
673,5130674079.128137,2.5704779955551786
674,5404083759.973635,2.7074567935739653
675,4587162073.711296,2.298177391638926
676,5163935939.5322075,2.587142254274653
677,4363903517.920978,2.186324407776041
678,4992770934.412356,2.5013882436935653
679,4562899335.010229,2.2860217109269687
680,5575737654.656619,2.7934557388059216
